File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\main.cpp,67,39,30,2,12,23,16,177,9,35
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\classes.h,69,50,31,2,8,19,11,110,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\cmdtree.h,78,54,38,4,14,3,10,33,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\functions.h,127,100,70,10,17,12,10,81,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\nouns.h,82,40,18,4,12,5,30,185,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1\verbs.h,59,35,16,4,11,4,13,55,6,17
