Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,17,1015,744,518,57,106,53,165,996,90,255
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2,17,1015,744,518,57,106,53,165,996,90,255
