File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\main.cpp,137,42,33,2,11,23,84,725,82,581
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\classes.h,83,62,42,3,10,25,11,205,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\cmdtree.h,78,54,38,4,14,4,10,69,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\functions.h,169,141,103,17,18,21,10,164,6,20
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\nouns.h,96,51,25,6,14,10,31,235,6,17
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Project 1_V2\verbs.h,63,39,19,4,11,13,13,100,6,17
